PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,CLASS
106.00,0.00,935.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13158,MAF,10693,BNA,8,F
106.00,0.00,956.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,12448,JAN,7,F
106.00,0.00,966.00,B6,JetBlue Airways,JetBlue Airways,11697,FLL,12266,IAH,5,F
106.00,0.00,1022.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,15016,STL,10,F
106.00,0.00,1040.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10423,AUS,10590,IFP,10,L
106.00,0.00,1040.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10590,IFP,10423,AUS,10,L
106.00,0.00,1089.00,MX,Breeze Aviation Group DBA  Breeze,Breeze Aviation Group DBA  Breeze,14314,PVU,11049,CLL,4,L
106.00,0.00,1114.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14570,RNO,13158,MAF,5,F
106.00,0.00,1150.00,G4,Allegiant Air,Allegiant Air,14533,RIV,11982,GRK,8,L
106.00,0.00,1236.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,HRL,12889,LAS,5,L
106.00,0.00,1345.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,11298,DFW,14570,RNO,2,L
106.00,0.00,1345.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,14570,RNO,11298,DFW,2,L
106.00,0.00,1356.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,12191,HOU,10158,ACY,10,L
106.00,0.00,1379.00,B6,JetBlue Airways,JetBlue Airways,12266,IAH,12892,LAX,5,F
106.00,72.00,1166.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12191,HOU,14524,RIC,10,F
106.00,128.00,1430.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14100,PHL,10423,AUS,8,F
106.00,277.00,965.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13495,MSY,11540,ELP,5,F
106.00,406.00,1476.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14771,SFO,11259,DAL,4,F
106.00,437.00,1209.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12191,HOU,13931,ORF,4,F
107.00,0.00,277.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,13158,MAF,14683,SAT,5,F
107.00,0.00,500.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,11973,GPT,11298,DFW,4,L
107.00,0.00,541.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,11140,CRP,11973,GPT,5,L
107.00,0.00,626.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10423,AUS,14193,PNS,9,F
107.00,0.00,643.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12266,IAH,13198,MCI,7,F
107.00,0.00,716.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11109,COS,10423,AUS,7,F
107.00,0.00,754.00,G4,Allegiant Air,Allegiant Air,10599,BHM,11140,CRP,3,L
107.00,0.00,853.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,11259,DAL,13487,MSP,2,L
107.00,0.00,876.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10423,AUS,14730,SDF,9,F
107.00,0.00,945.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13502,MTJ,12191,HOU,1,F
107.00,0.00,971.00,GCA,"Global Crossing Airlines, Inc.","Global Crossing Airlines, Inc.",11637,FAR,11259,DAL,1,L
107.00,0.00,1007.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14683,SAT,12451,JAX,8,F
107.00,0.00,1016.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,11298,DFW,10590,IFP,5,L
107.00,0.00,1030.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10590,IFP,10155,ACT,4,L
107.00,0.00,1042.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,13487,MSP,10423,AUS,8,F
107.00,0.00,1224.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14492,RDU,14683,SAT,4,F
107.00,0.00,1335.00,X9,Omni Air International LLC,Omni Air International LLC,14683,SAT,14524,RIC,8,L
107.00,0.00,1649.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,12191,HOU,14771,SFO,5,L
107.00,0.00,2225.00,AA,American Airlines Inc.,American Airlines Inc.,15024,STT,11298,DFW,4,F
107.00,302.00,935.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13158,MAF,10693,BNA,3,F
107.00,777.00,1004.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12191,HOU,13342,MKE,10,F
107.00,801.00,1224.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14683,SAT,14492,RDU,2,F
107.00,955.00,559.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13244,MEM,10423,AUS,3,F
108.00,0.00,253.00,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,12266,IAH,10781,BTR,1,F
108.00,0.00,308.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,10747,BRO,12266,IAH,6,F
108.00,0.00,395.00,UA,United Air Lines Inc.,United Air Lines Inc.,12266,IAH,13851,OKC,3,F
108.00,0.00,429.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,13158,MAF,9,F
108.00,0.00,609.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10140,ABQ,14683,SAT,2,F
108.00,0.00,666.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15570,VCV,11540,ELP,3,L
108.00,0.00,666.00,MQ,Envoy Air,Envoy Air,15624,VPS,10423,AUS,2,F
108.00,0.00,787.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12266,IAH,15304,TPA,4,F
108.00,0.00,934.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11150,CSG,13061,LRD,2,L
108.00,0.00,980.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",16218,YUM,14683,SAT,1,L
108.00,0.00,1015.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,HRL,12451,JAX,7,L
108.00,0.00,1129.00,G4,Allegiant Air,Allegiant Air,11459,DYS,11433,DTW,5,L
108.00,0.00,1330.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,15096,SYR,11259,DAL,4,F
108.00,0.00,1332.00,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,15356,TTN,11298,DFW,7,F
108.00,0.00,1366.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,10423,AUS,10792,BUF,7,F
108.00,0.00,1479.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12206,HRL,11278,DCA,7,F
